127.0.0.1 - - [23/Oct/2015:09:31:39 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Oct/2015:09:31:40 +0200] "GET /flashcard-basic/ HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Oct/2015:09:31:47 +0200] "GET /flashcard-basic/questionnaires HTTP/1.1" 200 3569
0:0:0:0:0:0:0:1 - - [23/Oct/2015:09:31:47 +0200] "GET /flashcard-basic/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:09:31:47 +0200] "GET /flashcard-basic/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:09:31:59 +0200] "POST /flashcard-basic/questionnaires HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:09:31:59 +0200] "GET /flashcard-basic/questionnaires HTTP/1.1" 200 4247
0:0:0:0:0:0:0:1 - - [23/Oct/2015:09:31:59 +0200] "GET /flashcard-basic/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:09:31:59 +0200] "GET /flashcard-basic/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:09:32:07 +0200] "POST /flashcard-basic/questionnaires HTTP/1.1" 200 1649
0:0:0:0:0:0:0:1 - - [23/Oct/2015:09:32:20 +0200] "POST /flashcard-basic/questionnaires HTTP/1.1" 200 1632
