127.0.0.1 - - [01/Nov/2015:16:43:36 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Nov/2015:16:43:37 +0100] "GET /hello-mvc-ab7/WEB-INF/classes/ch/fhnw/webfr/Application.java HTTP/1.1" 404 306
0:0:0:0:0:0:0:1 - - [01/Nov/2015:16:43:55 +0100] "GET /hello-mvc-ab7 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:16:43:55 +0100] "GET /hello-mvc-ab7/ HTTP/1.1" 404 306
0:0:0:0:0:0:0:1 - - [01/Nov/2015:16:43:57 +0100] "GET /hello-mvc-ab7/ HTTP/1.1" 404 306
0:0:0:0:0:0:0:1 - - [01/Nov/2015:16:44:17 +0100] "GET /hello-mvc-ab7/count HTTP/1.1" 404 306
0:0:0:0:0:0:0:1 - - [01/Nov/2015:16:44:18 +0100] "GET /hello-mvc-ab7/count HTTP/1.1" 404 306
0:0:0:0:0:0:0:1 - - [01/Nov/2015:16:44:32 +0100] "GET /hello-mvc-ab7%202/count HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [01/Nov/2015:16:45:24 +0100] "GET /hello-mvc/count HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [01/Nov/2015:16:46:17 +0100] "GET /hello-mvc/count HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [01/Nov/2015:16:46:17 +0100] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Nov/2015:16:46:36 +0100] "GET /hello-mvc-AB7/count HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [01/Nov/2015:17:04:37 +0100] "GET /hello-mvc-ab7/count HTTP/1.1" 404 306
0:0:0:0:0:0:0:1 - - [01/Nov/2015:17:04:50 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:17:04:52 +0100] "GET /hello-mvc-ab7/count HTTP/1.1" 404 306
0:0:0:0:0:0:0:1 - - [01/Nov/2015:17:04:58 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:17:05:43 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:17:05:49 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:17:05:53 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:17:05:55 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:17:05:56 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:17:06:01 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:17:06:02 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:17:06:03 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:17:06:05 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:17:06:08 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:17:08:00 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:17:08:03 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:17:08:04 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:17:08:08 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:18:42:08 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:18:42:10 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:18:42:11 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:18:42:18 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:18:42:19 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:18:42:20 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:18:42:21 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:23:12:44 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:23:12:46 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:23:13:21 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Nov/2015:23:13:22 +0100] "GET /hello-mvc-ab7/counter HTTP/1.1" 200 151
